some_string,some_date,payload
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"
sample,2025-04-02,"{""key1"":""value1"",""key2"":""value2""}"